time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1753429911.79398036,0.00185177,5820,0.00000391,0.00000000,0,0.00000000,945,946,1,0.00018466
1753429911.89383698,0.00208792,5841,0.00000670,0.00000000,0,0.00000000,946,949,4,0.00017598
1753429911.99398327,0.00233472,5822,0.00001423,0.00000000,0,0.00000000,949,948,2,0.00018626
1753429912.09394407,0.00256876,5826,0.00001047,0.00000000,0,0.00000000,948,950,4,0.00013942
1753429912.19391251,0.00261153,5802,0.00000045,0.00000000,0,0.00000000,950,950,0,0.00014136
1753429912.29382706,0.00260893,5862,0.00000567,0.00000000,0,0.00000000,950,951,1,0.00013775
1753429912.39399862,0.00247115,5845,0.00000493,0.00000000,0,0.00000000,951,952,1,0.00017508
1753429912.49382186,0.00251792,5805,0.00000299,0.00000000,0,0.00000000,952,953,1,0.00024017
1753429912.59388971,0.00226872,5843,0.00001287,0.00000000,0,0.00000000,953,947,1,0.00024948
1753429912.69395304,0.00244728,5817,0.00000037,0.00000000,0,0.00000000,947,947,0,0.00024378
1753429912.79391479,0.00191705,5822,0.00000519,0.00000000,0,0.00000000,947,948,2,0.00024572
1753429912.89377451,0.00210611,5852,0.00000033,0.00000000,0,0.00000000,948,948,0,0.00024478
1753429912.99390197,0.00192874,5833,0.00000399,0.00000000,0,0.00000000,948,949,2,0.00025275
1753429913.09392476,0.00221901,5801,0.00000619,0.00000000,0,0.00000000,949,951,2,0.00024871
1753429913.19385529,0.00228044,5828,0.00000646,0.00000000,0,0.00000000,951,953,2,0.00013474
1753429913.29386044,0.00190218,5831,0.00000560,0.00000000,0,0.00000000,953,955,2,0.00018145
1753429913.39391732,0.00209570,5826,0.00000457,0.00000000,0,0.00000000,955,956,1,0.00013444
1753429913.49380827,0.00233593,5828,0.00000048,0.00000000,0,0.00000000,956,956,0,0.00013737
1753429913.59392095,0.00185015,5818,0.00000558,0.00000000,0,0.00000000,956,957,2,0.00024628
1753429913.69393182,0.00197820,5857,0.00000888,0.00000000,0,0.00000000,957,953,2,0.00018309
1753429913.79399586,0.00262905,5829,0.00000830,0.00000000,0,0.00000000,953,955,2,0.00017088
1753429913.89387774,0.00262600,5814,0.00001538,0.00000000,0,0.00000000,955,953,2,0.00017000
1753429913.99388909,0.00208633,5803,0.00000399,0.00000000,0,0.00000000,953,954,1,0.00013989
1753429914.09389639,0.00197135,5851,0.00000339,0.00000000,0,0.00000000,954,955,1,0.00014453
